2025-08-22,IBM,240.781447508124
2025-08-25,IBM,238.135825423892,-0.011048459289136225
2025-08-26,IBM,241.318528683118,0.013276550654861552,240.07860053837797
2025-08-27,IBM,243.516583121521,0.009067286771981209,240.99031240951032,1,0.8851893439720016
2025-08-28,IBM,244.401772465493,0.00362843621275033,243.07896142337734,1,-2.227892281457997
2025-08-29,IBM,242.173880184035,-0.00915749827808554,243.36407859034966,0,0
2025-09-02,IBM,240.194636594704,-0.00820640082490609,242.25676308141067,0,0
2025-09-03,IBM,242.780582992825,0.01070850430628667,241.71636659052135,1,3.063351887004984
2025-09-04,IBM,245.84393487983,0.012538838762675475,242.93971815578632,1,1.342702937486024
2025-09-05,IBM,247.186637817316,0.00544674643457288,245.27038522999032,1,7.519136449920978
2025-09-08,IBM,254.705774267237,0.029965382599783652,249.24544898812766,1,3.0036762008950006
2025-09-09,IBM,257.709450468132,0.011723736764359671,253.200620850895,1,-2.217946333773
2025-09-10,IBM,255.491504134359,-0.00864363217904529,255.96890962324264,1,0.12929731990601567
2025-09-11,IBM,255.620801454265,0.0005059448628035312,256.27391868558533,0,0
2025-09-12,IBM,252.070098130691,-0.013987886018001383,254.39413457310502,0,0
2025-09-15,IBM,254.854963482513,0.010987396674838834,254.181954355823,1,1.2730813036909865
2025-09-16,IBM,256.128044786204,0.004982881689651997,254.3510354664693,1,1.5515678388720175
2025-09-17,IBM,257.679612625076,0.006039507324161697,256.22087363126434,1,5.888001029567988
2025-09-18,IBM,263.567613654644,0.022592931671506555,259.125090355308,1,1.392432675912005
2025-09-19,IBM,264.960046330556,0.005269112680013954,262.069090870092,1,4.94313599948498
2025-09-22,IBM,269.903182330041,0.018484264673401363,266.1436141050803,1,0.8652974486020071
2025-09-23,IBM,270.768479778643,0.0032008268530141493,268.54390281307997,1,-4.6845413596730054
2025-09-24,IBM,266.08393841897,-0.017452320612167505,268.918533509218,0,0
2025-09-25,IBM,279.918751648917,0.05068757140876379,272.25705661550995,1,2.854486985619019
2025-09-26,IBM,282.773238634536,0.010145911160967636,276.2586429008077,1,-4.4856224059720375
2025-09-29,IBM,278.287616228564,-0.015990129918834306,280.3265355040057,1,2.3472436536790156
2025-09-30,IBM,280.634859882243,0.00839922369641588,280.5652382484477,1,4.306595347639984
2025-10-01,IBM,284.941455229883,0.015229345603875899,281.28797711356333,1,0.22875679675701122
2025-10-02,IBM,285.17021202664,0.0008024982548935355,283.582175712922,1,1.6410813680379874
2025-10-03,IBM,286.811293394678,0.0057382480221424,285.64098688373366,1,1.0443245069340037
2025-10-06,IBM,287.855617901612,0.0036345425011390375,286.6123744409767,1,4.425946719861031
2025-10-07,IBM,292.281564621473,0.015258572369066137,288.98282530592104,1,-4.386162929121042
2025-10-08,IBM,287.895401692352,-0.01512037446945591,289.344194738479,0,0
2025-10-09,IBM,286.672050127087,-0.004258345682576881,288.94967214697067,0,0
2025-10-10,IBM,276.318318586918,-0.03678535055763721,283.62859013545227,0,0
2025-10-13,IBM,275.721561725813,-0.0021620071840375843,279.5706434799393,0,0
2025-10-14,IBM,274.65734532351,-0.003867218438007747,275.565741878747,0,0
2025-10-15,IBM,279.232481258647,0.016520397271355236,276.53712943599004,1,-4.754162993468981
2025-10-16,IBM,274.478318265178,-0.01717242946137798,276.12271494911164,0,0
2025-10-17,IBM,279.759616485956,0.019058450339636934,277.82347200326035,1,2.357189601364041
2025-10-20,IBM,282.11680608732,0.008390469275763479,278.784913612818,1,-1.5913516296130297
2025-10-21,IBM,280.525454457707,-0.005656723586591639,280.8006256769943,1,5.4304874360540225
2025-10-22,IBM,285.955941893761,0.01917328205521418,282.86606747959604,1,-2.4964328689550257
2025-10-23,IBM,283.459509024806,-0.008768461972548103,283.3136351254247,1,22.338598500692
2025-10-24,IBM,305.798107525498,0.07585581721580326,291.7378528146883,1,5.599568546700027
2025-10-27,IBM,311.397676072198,0.01814569166011637,300.2184308741673,1,-0.5171892796240058
2025-10-28,IBM,310.880486792574,-0.0016622450523682275,309.3587567967566,1,-4.336433190695004
2025-10-29,IBM,306.544053601879,-0.014047075269226106,309.60740548888367,0,0
2025-10-30,IBM,308.384053923619,0.005984458315240637,308.6028647726907,0,0
2025-10-31,IBM,305.748377787073,-0.008583465658477785,306.892161770857,0,0
2025-11-03,IBM,303.082863807471,-0.008756222835516247,305.73843183938766,0,0
2025-11-04,IBM,299.223836105659,-0.012814336977862162,302.6850259000677,0,0
2025-11-05,IBM,305.111837135227,0.019486479473255436,302.4728456827857,1,5.619460442070988
2025-11-06,IBM,310.731297577298,0.01825015526324769,305.0223236060613,1,-6.007352401788978
2025-11-07,IBM,304.723945175509,-0.019522274818313257,306.85569329601134,0,0
2025-11-10,IBM,309.13,0.014355631423512705,308.1950809176023,1,4.590000000000032
2025-11-11,IBM,313.72,0.014738967947078407,309.191315058503,1,1.259999999999991
2025-11-12,IBM,314.98,0.004008276401968658,312.61,1,-10.120000000000005
2025-11-13,IBM,304.86,-0.03265648991273906,311.18666666666667,0,0
2025-11-14,IBM,305.69,0.0027188617190878617,308.51,0,0
2025-11-17,IBM,297.17,-0.02826715093069243,302.5733333333333,0,0
2025-11-18,IBM,289.95,-0.024595871299641026,297.6033333333333,0,0
2025-11-19,IBM,288.53,-0.00490942764529656,291.8833333333333,0,0
2025-11-20,IBM,290.4,0.0064602162734876956,289.62666666666667,0,0
2025-11-21,IBM,297.44,0.023953241022493188,292.1233333333333,1,6.680000000000007
2025-11-24,IBM,304.12,0.022209836387101944,297.32,1,0.36000000000001364
